STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,Water_Quality
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,23,7.3,7.6,160,1.9,0.06,32,89,2012,Good
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",TAMILNADU,25,7,7.7,111,2.2,0.08,53,131,2012,Good
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",TAMILNADU,26,6.7,7.7,139,3.1,0.22,123,300,2012,Good
1162,TAMBIRAPARANI AT MURAPPANADU,TAMILNADU,29,7.2,7.2,288,2.1,0.14,33,91,2012,Good
1328,TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU,24,7,7.1,95,1.9,0.08,47,118,2012,Good
1329,TAMBIRAPARANI AT RAIL BDG. ,TAMILNADU,24,7,7.5,84,1.7,0.06,32,87,2012,Good
1330,TAMBIRAPARANI AT ARUMUGANERI,TAMILNADU,29,7.4,7,1303.375,7.2,0.15,76,174,2012,Good
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,29,7.2,7.3,510,2.9,0.08,46,123,2012,Good
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",TAMILNADU,24,7.1,7.4,88,1.8,0.07,34,90,2012,Good
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",TAMILNADU,29,7.2,6.9,338,3.8,0.07,44,104,2012,Good
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",TAMILNADU,26,6.7,7.6,162,3.3,0.16,90,249,2012,Good
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",TAMILNADU,27,6.7,7.6,182,4.1,0.15,92,251,2012,Good
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",TAMILNADU,32,4.0125,7.2,1303.375,7.2,1.75,1511.625,4068.625,2012,Poor
1885,GHAGGAR AT D/S OF SURAJPUR,HARYANA,27,6.8,8,414,3.1,0.88,221,468,2012,Good
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,21,5.5,7.4,635,7.2,2.58,1400,4068.625,2012,Good
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,24,5.5,7.4,1051,7.2,2.58,1511.625,4068.625,2012,Good
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,21,5.3,7.3,636,7.2,2.58,1511.625,4068.625,2012,Good
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,24,5.1,7.4,993,7.2,2.58,1511.625,4068.625,2012,Good
1698,GHAGGAR AT D/S CHHATBIR,PUNJAB,21,5.3,7.5,632,7.2,2.58,1511.625,4068.625,2012,Good
1699,GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,20.05,4.9,7.4,973,7.2,2.58,1511.625,4068.625,2012,Poor
1700,GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,22,4.3,7.5,1156,7.2,2.58,1511.625,4068.625,2012,Poor
1701,GHAGGAR AT D/S JHARMAL NADI,PUNJAB,22,4.8,7.4,904,7.2,2.58,1511.625,4068.625,2012,Poor
1702,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,21,5.1,7.4,1110,7.2,2.58,1511.625,4068.625,2012,Good
1703,GHAGGAR AT MOONAK,PUNJAB,24,5.3,7.4,1290,7.2,2.58,1511.625,4068.625,2012,Good
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,22,4.9,7.4,990,7.2,2.58,1511.625,4068.625,2012,Poor
